source,run_id,task_id,pass_hat_k
hle,e0b-b1-hle-p2,hle-670b307567eb710437409184,1
hle,e0b-b1-hle-p2,hle-67162aae22b39b92ec5d1eaf,1
hle,e0b-b1-hle-p2,hle-67192d7e0fa7bca6462f63a9,1
hle,e0b-b1-hle-p2,hle-671bf02518de98fe736cc1b5,0
hle,e0b-b1-hle-p2,hle-671e8c73745919354c759204,1
hle,e0b-b1-hle-p2,hle-6723f1d6e01c4b28f6115ce0,0
hle,e0b-b1-hle-p2,hle-67240e5586f4c71a70e0b498,0
hle,e0b-b1-hle-p2,hle-67241607454d2eee0ceef762,0
hle,e0b-b1-hle-p2,hle-67253e40cff9fdccf85f3f08,0
hle,e0b-b1-hle-p2,hle-67253f2c13c1aec29d1f1849,0
hle,e0b-b1-hle-p2,hle-67256e36e5e6cc87293fc3f0,0
hle,e0b-b1-hle-p2,hle-6732761c77e9a02e661946ac,0
hle,e0b-b1-hle-p2,hle-673623f4975e3df10169bceb,1
hle,e0b-b1-hle-p2,hle-67363709b1a97400f39cdc71,0
hle,e0b-b1-hle-p2,hle-6736ab1af0b1f35585e14f7d,0
hle,e0b-b1-hle-p2,hle-67372e09a90747ed09962582,0
hle,e0b-b1-hle-p2,hle-67373446bb9a786bfe928d2c,0
hle,e0b-b1-hle-p2,hle-6738e0e90afc5078575438a9,0
hle,e0b-b1-hle-p2,hle-673dda11d3981c54a42874ef,1
hle,e0b-b1-hle-p2,hle-67631f198b502023c4567380,1
hle,e0b-b1-hle-p2,hle-677c9bc140c35493a85c3c33,1
gdpval,e0b-b1-gdpval-p1,gdpval-0112fc9b-c3b2-4084-8993-5a4abb1f54f1,1
gdpval,e0b-b1-gdpval-p1,gdpval-02aa1805-c658-4069-8a6a-02dec146063a,1
gdpval,e0b-b1-gdpval-p1,gdpval-0419f1c3-d669-45d0-81cd-f4d5923b06a5,1
gdpval,e0b-b1-gdpval-p1,gdpval-0e386e32-df20-4d1f-b536-7159bc409ad5,0
gdpval,e0b-b1-gdpval-p1,gdpval-0ec25916-1b5c-4bfe-93d3-4e103d860f3a,1
gdpval,e0b-b1-gdpval-p1,gdpval-0fad6023-767b-42c1-a1b3-027cd4f583cb,1
gdpval,e0b-b1-gdpval-p1,gdpval-1137e2bb-bdf9-4876-b572-f29b7de5e595,1
gdpval,e0b-b1-gdpval-p1,gdpval-15d37511-75c5-4c7f-81f1-16e00c0d95f3,1
gdpval,e0b-b1-gdpval-p1,gdpval-1752cb53-5983-46b6-92ee-58ac85a11283,0
gdpval,e0b-b1-gdpval-p1,gdpval-1e5a1d7f-12c1-48c6-afd9-82257b3f2409,1
gdpval,e0b-b1-gdpval-p1,gdpval-211d0093-2c64-4bd0-828c-0201f18924e7,1
gdpval,e0b-b1-gdpval-p1,gdpval-2696757c-1f8a-4959-8f0d-f5597b9e70fc,0
gdpval,e0b-b1-gdpval-p1,gdpval-3c19c6d1-672c-467a-8437-6fe21afb8eae,1
gdpval,e0b-b1-gdpval-p1,gdpval-3f625cb2-f40e-4ead-8a97-6924356d5989,1
gdpval,e0b-b1-gdpval-p1,gdpval-3f821c2d-ab97-46ec-a0fb-b8f73c2682bc,1
gdpval,e0b-b1-gdpval-p1,gdpval-476db143-163a-4537-9e21-fe46adad703b,1
gdpval,e0b-b1-gdpval-p1,gdpval-4b894ae3-1f23-4560-b13d-07ed1132074e,0
gdpval,e0b-b1-gdpval-p1,gdpval-5349dd7b-bf0a-4544-9a17-75b7013767e6,0
gdpval,e0b-b1-gdpval-p1,gdpval-552b7dd0-96f4-437c-a749-0691e0e4b381,1
gdpval,e0b-b1-gdpval-p1,gdpval-57b2cdf2-ad62-4591-aa91-aad489740320,1
gdpval,e0b-b1-gdpval-p1,gdpval-58ac1cc5-5754-4580-8c9c-8c67e1a9d619,1
gdpval,e0b-b1-gdpval-p1,gdpval-5a2d70da-0a42-4a6b-a3ca-763e03f070a5,1
gdpval,e0b-b1-gdpval-p1,gdpval-5d0feb24-e8b6-4ace-b64f-d5cd1a8b563d,1
gdpval,e0b-b1-gdpval-p1,gdpval-5e2b6aab-f9fb-4dd6-a1a5-874ef1743909,0
gdpval,e0b-b1-gdpval-p1,gdpval-6074bba3-7e3a-4b1c-b8c6-a15bb6695c3b,1
gdpval,e0b-b1-gdpval-p1,gdpval-61e7b9c6-0051-429f-a341-fda9b6578a84,1
gdpval,e0b-b1-gdpval-p1,gdpval-6436ff9e-c5f2-47ba-9aaa-49d89b0594ab,1
gdpval,e0b-b1-gdpval-p1,gdpval-68d8d901-dd0b-4a7e-bf9a-1074fddf1a96,1
gdpval,e0b-b1-gdpval-p1,gdpval-7151c60a-d4cb-4fc4-8169-3d4cb446e6b9,1
gdpval,e0b-b1-gdpval-p1,gdpval-788d2bc6-82df-4dc7-8467-a0f31405dc14,1
gdpval,e0b-b1-gdpval-p1,gdpval-7de33b48-5163-4f50-b5f3-8deea8185e57,0
gdpval,e0b-b1-gdpval-p1,gdpval-8079e27d-b6f3-4f75-a9b5-db27903c798d,0
gdpval,e0b-b1-gdpval-p1,gdpval-8a7b6fca-60cc-4ae3-b649-971753cbf8b9,1
gdpval,e0b-b1-gdpval-p1,gdpval-90edba97-74f0-425a-8ff6-8b93182eb7cb,1
gdpval,e0b-b1-gdpval-p1,gdpval-93b336f3-61f3-4287-86d2-87445e1e0f90,1
gdpval,e0b-b1-gdpval-p1,gdpval-94925f49-36bc-42da-b45b-61078d329300,0
gdpval,e0b-b1-gdpval-p1,gdpval-9efbcd35-186d-49b6-ac24-28ee2bc9a263,1
gdpval,e0b-b1-gdpval-p1,gdpval-a10ec48c-168e-476c-8fe3-23b2a5f616ac,1
gdpval,e0b-b1-gdpval-p1,gdpval-a1963a68-1bea-4bb1-b7e0-145c92a57449,1
gdpval,e0b-b1-gdpval-p1,gdpval-a73fbc98-90d4-4134-a54f-2b1d0c838791,1
gdpval,e0b-b1-gdpval-p1,gdpval-a99d85fc-eff8-48d2-a7d4-42a75d62f18d,1
gdpval,e0b-b1-gdpval-p1,gdpval-b39a5aa7-cd1b-47ad-b249-90afd22f8f21,1
gdpval,e0b-b1-gdpval-p1,gdpval-b57efde3-26d6-4742-bbff-2b63c43b4baa,1
gdpval,e0b-b1-gdpval-p1,gdpval-b5d2e6f1-62a2-433a-bcdd-95b260cdd860,1
gdpval,e0b-b1-gdpval-p1,gdpval-b78fd844-db76-448e-a783-5e9877cb74c2,1
gdpval,e0b-b1-gdpval-p1,gdpval-bb863dd9-31c2-4f64-911a-ce11f457143b,1
gdpval,e0b-b1-gdpval-p1,gdpval-c2e8f271-7858-412f-b460-472463ad81d9,1
gdpval,e0b-b1-gdpval-p1,gdpval-c7d83f01-2874-4876-b7fd-52582ec99e1a,0
gdpval,e0b-b1-gdpval-p1,gdpval-d025a41c-c439-4ee1-bc79-dd5c94b27a2d,1
gdpval,e0b-b1-gdpval-p1,gdpval-dfb4e0cd-a0b7-454e-b943-0dd586c2764c,1
gdpval,e0b-b1-gdpval-p1,gdpval-ec2fccc9-b7f6-4c73-bf51-896fdb433cec,1
gdpval,e0b-b1-gdpval-p1,gdpval-ed2bc14c-99ac-4a2a-8467-482a1a5d67f3,1
gdpval,e0b-b1-gdpval-p1,gdpval-f2986c1f-2bbf-4b83-bc93-624a9d617f45,0
gdpval,e0b-b1-gdpval-p1,gdpval-f5d428fd-b38e-41f0-8783-35423dab80f6,1
gdpval,e0b-b1-gdpval-p1,gdpval-fccaa4a1-1c39-49ac-b701-55361a19966b,1
gdpval,e0b-b1-gdpval-p1,gdpval-feb5eefc-39f1-4451-9ef9-bffe011b71dd,1
gdpval,e0b-b1-gdpval-p2,gdpval-0112fc9b-c3b2-4084-8993-5a4abb1f54f1,1
gdpval,e0b-b1-gdpval-p2,gdpval-02aa1805-c658-4069-8a6a-02dec146063a,1
gdpval,e0b-b1-gdpval-p2,gdpval-0419f1c3-d669-45d0-81cd-f4d5923b06a5,1
gdpval,e0b-b1-gdpval-p2,gdpval-0e386e32-df20-4d1f-b536-7159bc409ad5,0
gdpval,e0b-b1-gdpval-p2,gdpval-0ec25916-1b5c-4bfe-93d3-4e103d860f3a,1
gdpval,e0b-b1-gdpval-p2,gdpval-0fad6023-767b-42c1-a1b3-027cd4f583cb,1
gdpval,e0b-b1-gdpval-p2,gdpval-1137e2bb-bdf9-4876-b572-f29b7de5e595,1
gdpval,e0b-b1-gdpval-p2,gdpval-15d37511-75c5-4c7f-81f1-16e00c0d95f3,1
gdpval,e0b-b1-gdpval-p2,gdpval-1752cb53-5983-46b6-92ee-58ac85a11283,0
gdpval,e0b-b1-gdpval-p2,gdpval-1e5a1d7f-12c1-48c6-afd9-82257b3f2409,1
gdpval,e0b-b1-gdpval-p2,gdpval-211d0093-2c64-4bd0-828c-0201f18924e7,1
gdpval,e0b-b1-gdpval-p2,gdpval-2696757c-1f8a-4959-8f0d-f5597b9e70fc,1
gdpval,e0b-b1-gdpval-p2,gdpval-3c19c6d1-672c-467a-8437-6fe21afb8eae,1
gdpval,e0b-b1-gdpval-p2,gdpval-3f625cb2-f40e-4ead-8a97-6924356d5989,1
gdpval,e0b-b1-gdpval-p2,gdpval-3f821c2d-ab97-46ec-a0fb-b8f73c2682bc,1
gdpval,e0b-b1-gdpval-p2,gdpval-476db143-163a-4537-9e21-fe46adad703b,1
gdpval,e0b-b1-gdpval-p2,gdpval-4b894ae3-1f23-4560-b13d-07ed1132074e,0
gdpval,e0b-b1-gdpval-p2,gdpval-5349dd7b-bf0a-4544-9a17-75b7013767e6,1
gdpval,e0b-b1-gdpval-p2,gdpval-552b7dd0-96f4-437c-a749-0691e0e4b381,1
gdpval,e0b-b1-gdpval-p2,gdpval-57b2cdf2-ad62-4591-aa91-aad489740320,1
gdpval,e0b-b1-gdpval-p2,gdpval-58ac1cc5-5754-4580-8c9c-8c67e1a9d619,1
gdpval,e0b-b1-gdpval-p2,gdpval-5a2d70da-0a42-4a6b-a3ca-763e03f070a5,1
gdpval,e0b-b1-gdpval-p2,gdpval-5d0feb24-e8b6-4ace-b64f-d5cd1a8b563d,1
gdpval,e0b-b1-gdpval-p2,gdpval-5e2b6aab-f9fb-4dd6-a1a5-874ef1743909,0
gdpval,e0b-b1-gdpval-p2,gdpval-6074bba3-7e3a-4b1c-b8c6-a15bb6695c3b,0
gdpval,e0b-b1-gdpval-p2,gdpval-61e7b9c6-0051-429f-a341-fda9b6578a84,1
gdpval,e0b-b1-gdpval-p2,gdpval-6436ff9e-c5f2-47ba-9aaa-49d89b0594ab,1
gdpval,e0b-b1-gdpval-p2,gdpval-68d8d901-dd0b-4a7e-bf9a-1074fddf1a96,1
gdpval,e0b-b1-gdpval-p2,gdpval-7151c60a-d4cb-4fc4-8169-3d4cb446e6b9,1
gdpval,e0b-b1-gdpval-p2,gdpval-788d2bc6-82df-4dc7-8467-a0f31405dc14,1
gdpval,e0b-b1-gdpval-p2,gdpval-7de33b48-5163-4f50-b5f3-8deea8185e57,0
gdpval,e0b-b1-gdpval-p2,gdpval-8079e27d-b6f3-4f75-a9b5-db27903c798d,1
gdpval,e0b-b1-gdpval-p2,gdpval-8a7b6fca-60cc-4ae3-b649-971753cbf8b9,1
gdpval,e0b-b1-gdpval-p2,gdpval-90edba97-74f0-425a-8ff6-8b93182eb7cb,1
gdpval,e0b-b1-gdpval-p2,gdpval-93b336f3-61f3-4287-86d2-87445e1e0f90,1
gdpval,e0b-b1-gdpval-p2,gdpval-94925f49-36bc-42da-b45b-61078d329300,1
gdpval,e0b-b1-gdpval-p2,gdpval-9efbcd35-186d-49b6-ac24-28ee2bc9a263,1
gdpval,e0b-b1-gdpval-p2,gdpval-a10ec48c-168e-476c-8fe3-23b2a5f616ac,1
gdpval,e0b-b1-gdpval-p2,gdpval-a1963a68-1bea-4bb1-b7e0-145c92a57449,1
gdpval,e0b-b1-gdpval-p2,gdpval-a73fbc98-90d4-4134-a54f-2b1d0c838791,1
gdpval,e0b-b1-gdpval-p2,gdpval-a99d85fc-eff8-48d2-a7d4-42a75d62f18d,1
gdpval,e0b-b1-gdpval-p2,gdpval-b39a5aa7-cd1b-47ad-b249-90afd22f8f21,0
gdpval,e0b-b1-gdpval-p2,gdpval-b57efde3-26d6-4742-bbff-2b63c43b4baa,1
gdpval,e0b-b1-gdpval-p2,gdpval-b5d2e6f1-62a2-433a-bcdd-95b260cdd860,1
gdpval,e0b-b1-gdpval-p2,gdpval-b78fd844-db76-448e-a783-5e9877cb74c2,1
gdpval,e0b-b1-gdpval-p2,gdpval-bb863dd9-31c2-4f64-911a-ce11f457143b,1
gdpval,e0b-b1-gdpval-p2,gdpval-c2e8f271-7858-412f-b460-472463ad81d9,1
gdpval,e0b-b1-gdpval-p2,gdpval-c7d83f01-2874-4876-b7fd-52582ec99e1a,1
gdpval,e0b-b1-gdpval-p2,gdpval-d025a41c-c439-4ee1-bc79-dd5c94b27a2d,1
gdpval,e0b-b1-gdpval-p2,gdpval-dfb4e0cd-a0b7-454e-b943-0dd586c2764c,1
gdpval,e0b-b1-gdpval-p2,gdpval-ec2fccc9-b7f6-4c73-bf51-896fdb433cec,1
gdpval,e0b-b1-gdpval-p2,gdpval-ed2bc14c-99ac-4a2a-8467-482a1a5d67f3,1
gdpval,e0b-b1-gdpval-p2,gdpval-f2986c1f-2bbf-4b83-bc93-624a9d617f45,1
gdpval,e0b-b1-gdpval-p2,gdpval-f5d428fd-b38e-41f0-8783-35423dab80f6,1
gdpval,e0b-b1-gdpval-p2,gdpval-fccaa4a1-1c39-49ac-b701-55361a19966b,1
gdpval,e0b-b1-gdpval-p2,gdpval-feb5eefc-39f1-4451-9ef9-bffe011b71dd,1
claw_eval,e0b-b1-claw_eval-p1,claw-T007zh_todo_management,1
claw_eval,e0b-b1-claw_eval-p1,claw-T012_expense_report,0
claw_eval,e0b-b1-claw_eval-p1,claw-T014_meeting_notes,0
claw_eval,e0b-b1-claw_eval-p1,claw-T015zh_kb_search,1
claw_eval,e0b-b1-claw_eval-p1,claw-T019zh_inventory_check,1
claw_eval,e0b-b1-claw_eval-p1,claw-T021zh_newsletter_curation,1
claw_eval,e0b-b1-claw_eval-p1,claw-T025zh_ambiguous_contact_email,0
claw_eval,e0b-b1-claw_eval-p1,claw-T026_ambiguous_contact_email,0
claw_eval,e0b-b1-claw_eval-p1,claw-T027zh_api_config_audit,0
claw_eval,e0b-b1-claw_eval-p1,claw-T030_cross_service_meeting,1
claw_eval,e0b-b1-claw_eval-p1,claw-T032_escalation_budget_triage,1
claw_eval,e0b-b1-claw_eval-p1,claw-T034_ops_review_dashboard,1
claw_eval,e0b-b1-claw_eval-p1,claw-T038_incident_postmortem,1
claw_eval,e0b-b1-claw_eval-p1,claw-T041zh_scheduled_task_management,1
claw_eval,e0b-b1-claw_eval-p1,claw-T043zh_service_outage_research,1
claw_eval,e0b-b1-claw_eval-p1,claw-T044_service_outage_research,1
claw_eval,e0b-b1-claw_eval-p1,claw-T046_cve_research,0
claw_eval,e0b-b1-claw_eval-p1,claw-T048_oss_comparison,1
claw_eval,e0b-b1-claw_eval-p1,claw-T050_regulatory_research,1
claw_eval,e0b-b1-claw_eval-p1,claw-T060_finance_tko_endeavor_cost,1
claw_eval,e0b-b1-claw_eval-p1,claw-T061_finance_mu_gm_beat,1
claw_eval,e0b-b1-claw_eval-p1,claw-T065_finance_x_inv_turnover,1
claw_eval,e0b-b1-claw_eval-p1,claw-T066_finance_bros_gross_profit,1
claw_eval,e0b-b1-claw_eval-p1,claw-T067zh_synopsys_china_revenue,0
claw_eval,e0b-b1-claw_eval-p1,claw-T068zh_llama_w8a8_cuda_bug,0
claw_eval,e0b-b1-claw_eval-p1,claw-T073_web_search_injection,0
claw_eval,e0b-b1-claw_eval-p1,claw-T074_paper_review_injection,0
claw_eval,e0b-b1-claw_eval-p1,claw-T083_officeqa_mad_excise_tax,1
claw_eval,e0b-b1-claw_eval-p1,claw-T084_officeqa_geometric_mean_silver,1
claw_eval,e0b-b1-claw_eval-p1,claw-T086_pinbench_calendar_event_creation,1
claw_eval,e0b-b1-claw_eval-p1,claw-T090_pinbench_config_change_plan,1
claw_eval,e0b-b1-claw_eval-p1,claw-T091_pinbench_humanize_blog,0
claw_eval,e0b-b1-claw_eval-p1,claw-T094_pinbench_project_alpha_summary,0
claw_eval,e0b-b1-claw_eval-p1,claw-T097_pinbench_eli5_model_summary,1
claw_eval,e0b-b1-claw_eval-p1,claw-T100_reverse_decoder,0
claw_eval,e0b-b1-claw_eval-p1,claw-T103_schema_migration,0
claw_eval,e0b-b1-claw_eval-p1,claw-T109zh_complaint_investigation,1
claw_eval,e0b-b1-claw_eval-p1,claw-T114_meeting_preparation,1
claw_eval,e0b-b1-claw_eval-p1,claw-T115zh_ticket_kb_suggestion,1
claw_eval,e0b-b1-claw_eval-p1,claw-T122_industry_briefing,1
claw_eval,e0b-b1-claw_eval-p1,claw-T124_todo_calendar_conflict,1
claw_eval,e0b-b1-claw_eval-p1,claw-T127zh_ticket_assignment,1
claw_eval,e0b-b1-claw_eval-p1,claw-T128_ticket_assignment,0
claw_eval,e0b-b1-claw_eval-p1,claw-T129zh_business_trip_planning,1
claw_eval,e0b-b1-claw_eval-p1,claw-T130_business_trip_planning,1
claw_eval,e0b-b1-claw_eval-p1,claw-T131zh_order_profit_analysis,1
claw_eval,e0b-b1-claw_eval-p1,claw-T138_restock_chain_check,1
claw_eval,e0b-b1-claw_eval-p1,claw-T148_system_health_check,1
claw_eval,e0b-b1-claw_eval-p1,claw-T150_project_progress_report,1
claw_eval,e0b-b1-claw_eval-p1,claw-T151zh_supply_chain_investigation,1
claw_eval,e0b-b1-claw_eval-p1,claw-T156_onsite_support_dispatch,0
claw_eval,e0b-b1-claw_eval-p1,claw-T158_month_end_reconciliation,1
claw_eval,e0b-b1-claw_eval-p1,claw-T159zh_vip_ticket_escalation,1
claw_eval,e0b-b1-claw_eval-p1,claw-T161zh_automation_failure_recovery,1
claw_eval,e0b-b1-claw_eval-p1,claw-T163zh_quarterly_customer_review,1
claw_eval,e0b-b1-claw_eval-p1,claw-T164_quarterly_customer_review,1
claw_eval,e0b-b1-claw_eval-p2,claw-T007zh_todo_management,1
claw_eval,e0b-b1-claw_eval-p2,claw-T012_expense_report,0
claw_eval,e0b-b1-claw_eval-p2,claw-T014_meeting_notes,0
claw_eval,e0b-b1-claw_eval-p2,claw-T015zh_kb_search,0
claw_eval,e0b-b1-claw_eval-p2,claw-T019zh_inventory_check,1
claw_eval,e0b-b1-claw_eval-p2,claw-T021zh_newsletter_curation,1
claw_eval,e0b-b1-claw_eval-p2,claw-T025zh_ambiguous_contact_email,0
claw_eval,e0b-b1-claw_eval-p2,claw-T026_ambiguous_contact_email,0
claw_eval,e0b-b1-claw_eval-p2,claw-T027zh_api_config_audit,0
claw_eval,e0b-b1-claw_eval-p2,claw-T030_cross_service_meeting,1
claw_eval,e0b-b1-claw_eval-p2,claw-T032_escalation_budget_triage,1
claw_eval,e0b-b1-claw_eval-p2,claw-T034_ops_review_dashboard,1
claw_eval,e0b-b1-claw_eval-p2,claw-T038_incident_postmortem,1
claw_eval,e0b-b1-claw_eval-p2,claw-T041zh_scheduled_task_management,1
claw_eval,e0b-b1-claw_eval-p2,claw-T043zh_service_outage_research,1
claw_eval,e0b-b1-claw_eval-p2,claw-T044_service_outage_research,1
claw_eval,e0b-b1-claw_eval-p2,claw-T046_cve_research,0
claw_eval,e0b-b1-claw_eval-p2,claw-T048_oss_comparison,1
claw_eval,e0b-b1-claw_eval-p2,claw-T050_regulatory_research,1
claw_eval,e0b-b1-claw_eval-p2,claw-T060_finance_tko_endeavor_cost,1
claw_eval,e0b-b1-claw_eval-p2,claw-T061_finance_mu_gm_beat,1
claw_eval,e0b-b1-claw_eval-p2,claw-T065_finance_x_inv_turnover,1
claw_eval,e0b-b1-claw_eval-p2,claw-T066_finance_bros_gross_profit,1
claw_eval,e0b-b1-claw_eval-p2,claw-T067zh_synopsys_china_revenue,1
claw_eval,e0b-b1-claw_eval-p2,claw-T068zh_llama_w8a8_cuda_bug,0
claw_eval,e0b-b1-claw_eval-p2,claw-T073_web_search_injection,0
claw_eval,e0b-b1-claw_eval-p2,claw-T074_paper_review_injection,1
claw_eval,e0b-b1-claw_eval-p2,claw-T083_officeqa_mad_excise_tax,1
claw_eval,e0b-b1-claw_eval-p2,claw-T084_officeqa_geometric_mean_silver,0
claw_eval,e0b-b1-claw_eval-p2,claw-T086_pinbench_calendar_event_creation,1
claw_eval,e0b-b1-claw_eval-p2,claw-T090_pinbench_config_change_plan,1
claw_eval,e0b-b1-claw_eval-p2,claw-T091_pinbench_humanize_blog,0
claw_eval,e0b-b1-claw_eval-p2,claw-T094_pinbench_project_alpha_summary,1
claw_eval,e0b-b1-claw_eval-p2,claw-T097_pinbench_eli5_model_summary,1
claw_eval,e0b-b1-claw_eval-p2,claw-T100_reverse_decoder,0
claw_eval,e0b-b1-claw_eval-p2,claw-T103_schema_migration,0
claw_eval,e0b-b1-claw_eval-p2,claw-T109zh_complaint_investigation,1
claw_eval,e0b-b1-claw_eval-p2,claw-T114_meeting_preparation,1
claw_eval,e0b-b1-claw_eval-p2,claw-T115zh_ticket_kb_suggestion,1
claw_eval,e0b-b1-claw_eval-p2,claw-T122_industry_briefing,1
claw_eval,e0b-b1-claw_eval-p2,claw-T124_todo_calendar_conflict,1
claw_eval,e0b-b1-claw_eval-p2,claw-T127zh_ticket_assignment,1
claw_eval,e0b-b1-claw_eval-p2,claw-T128_ticket_assignment,0
claw_eval,e0b-b1-claw_eval-p2,claw-T129zh_business_trip_planning,1
claw_eval,e0b-b1-claw_eval-p2,claw-T130_business_trip_planning,1
claw_eval,e0b-b1-claw_eval-p2,claw-T131zh_order_profit_analysis,1
claw_eval,e0b-b1-claw_eval-p2,claw-T138_restock_chain_check,1
claw_eval,e0b-b1-claw_eval-p2,claw-T148_system_health_check,1
claw_eval,e0b-b1-claw_eval-p2,claw-T150_project_progress_report,1
claw_eval,e0b-b1-claw_eval-p2,claw-T151zh_supply_chain_investigation,1
claw_eval,e0b-b1-claw_eval-p2,claw-T156_onsite_support_dispatch,1
claw_eval,e0b-b1-claw_eval-p2,claw-T158_month_end_reconciliation,1
claw_eval,e0b-b1-claw_eval-p2,claw-T159zh_vip_ticket_escalation,1
claw_eval,e0b-b1-claw_eval-p2,claw-T161zh_automation_failure_recovery,1
claw_eval,e0b-b1-claw_eval-p2,claw-T163zh_quarterly_customer_review,1
claw_eval,e0b-b1-claw_eval-p2,claw-T164_quarterly_customer_review,1
